admin,documents.edit,
branch_manager,documents.edit,
office_admin,documents.edit,
super_admin,documents.archive,
admin,documents.archive,
office_admin,documents.archive,
super_admin,templates.view,all
admin,templates.view,all
branch_manager,templates.view,branch
office_admin,templates.view,all
super_admin,templates.create,
admin,templates.create,
branch_manager,templates.create,
office_admin,templates.create,
super_admin,templates.edit,
admin,templates.edit,
branch_manager,templates.edit,
office_admin,templates.edit,
super_admin,templates.archive,
admin,templates.archive,
office_admin,templates.archive,
super_admin,clauses.view,all
admin,clauses.view,all
branch_manager,clauses.view,branch
office_admin,clauses.view,all
agent,clauses.view,own
super_admin,clauses.create,
admin,clauses.create,
branch_manager,clauses.create,
office_admin,clauses.create,
super_admin,clauses.edit,
admin,clauses.edit,
branch_manager,clauses.edit,
office_admin,clauses.edit,
super_admin,clauses.archive,
admin,clauses.archive,
super_admin,packs.view,all
admin,packs.view,all
branch_manager,packs.view,branch
office_admin,packs.view,all
agent,packs.view,own
super_admin,packs.create,
admin,packs.create,
branch_manager,packs.create,
office_admin,packs.create,
super_admin,packs.edit,
admin,packs.edit,
branch_manager,packs.edit,
office_admin,packs.edit,
super_admin,packs.archive,
admin,packs.archive,
office_admin,packs.archive,
super_admin,access_ellie,
admin,access_ellie,
branch_manager,access_ellie,
office_admin,access_ellie,
agent,access_ellie,
super_admin,access_filing_register,
admin,access_filing_register,
branch_manager,access_filing_register,
office_admin,access_filing_register,
agent,access_filing_register,
super_admin,filing.view,all
admin,filing.view,all
branch_manager,filing.view,branch
office_admin,filing.view,branch
agent,filing.view,own
super_admin,filing.create,
admin,filing.create,
branch_manager,filing.create,
office_admin,filing.create,
agent,filing.create,
super_admin,filing.edit,
admin,filing.edit,
branch_manager,filing.edit,
office_admin,filing.edit,
super_admin,filing.archive,
admin,filing.archive,
office_admin,filing.archive,
super_admin,access_finance_engine,
admin,access_finance_engine,
super_admin,manage_finance_definitions,
admin,manage_finance_definitions,
super_admin,run_finance_audit,
admin,run_finance_audit,
super_admin,finance.view,all
admin,finance.view,all
super_admin,finance.manage,
admin,finance.manage,
super_admin,access_franchise_admin,
admin,access_franchise_admin,
super_admin,manage_branches,
admin,manage_branches,
super_admin,manage_users,
admin,manage_users,
super_admin,view_financial_reports,
admin,view_financial_reports,
super_admin,impersonate_users,
admin,impersonate_users,
super_admin,users.view,all
admin,users.view,all
super_admin,users.create,
admin,users.create,
super_admin,users.edit,
admin,users.edit,
super_admin,users.archive,
admin,users.archive,
super_admin,access_knowledge_base,
admin,access_knowledge_base,
branch_manager,access_knowledge_base,
office_admin,access_knowledge_base,
agent,access_knowledge_base,
super_admin,manage_knowledge_base,
admin,manage_knowledge_base,
super_admin,knowledge.view,all
admin,knowledge.view,all
branch_manager,knowledge.view,all
office_admin,knowledge.view,all
agent,knowledge.view,all
super_admin,knowledge.manage,
admin,knowledge.manage,
super_admin,manage_p24,
admin,manage_p24,
office_admin,manage_p24,
super_admin,p24.view,all
admin,p24.view,all
branch_manager,p24.view,all
office_admin,p24.view,all
agent,p24.view,all
super_admin,p24.manage,
admin,p24.manage,
super_admin,access_pdf_splitter,
admin,access_pdf_splitter,
branch_manager,access_pdf_splitter,
office_admin,access_pdf_splitter,
agent,access_pdf_splitter,
super_admin,access_presentations,
admin,access_presentations,
branch_manager,access_presentations,
agent,access_presentations,
super_admin,create_presentations,
admin,create_presentations,
branch_manager,create_presentations,
super_admin,run_analysis,
admin,run_analysis,
branch_manager,run_analysis,
super_admin,compile_pack,
admin,compile_pack,
super_admin,presentations.view,all
admin,presentations.view,all
branch_manager,presentations.view,branch
office_admin,presentations.view,own
agent,presentations.view,own
super_admin,presentations.create,
admin,presentations.create,
branch_manager,presentations.create,
office_admin,presentations.create,
agent,presentations.create,
super_admin,presentations.edit,
admin,presentations.edit,
branch_manager,presentations.edit,
office_admin,presentations.edit,
agent,presentations.edit,
super_admin,presentations.archive,
admin,presentations.archive,
super_admin,access_properties,
admin,access_properties,
branch_manager,access_properties,
office_admin,access_properties,
agent,access_properties,
super_admin,create_properties,
admin,create_properties,
branch_manager,create_properties,
office_admin,create_properties,
agent,create_properties,
super_admin,publish_properties,
admin,publish_properties,
branch_manager,publish_properties,
super_admin,delete_properties,
admin,delete_properties,
branch_manager,delete_properties,
super_admin,properties.view,all
admin,properties.view,all
branch_manager,properties.view,branch
office_admin,properties.view,own
agent,properties.view,own
super_admin,properties.create,
admin,properties.create,
branch_manager,properties.create,
office_admin,properties.create,
agent,properties.create,
super_admin,properties.edit,
admin,properties.edit,
branch_manager,properties.edit,
office_admin,properties.edit,
agent,properties.edit,
super_admin,properties.archive,
admin,properties.archive,
super_admin,access_role_manager,
admin,access_role_manager,
super_admin,edit_permissions,
admin,edit_permissions,
super_admin,change_user_roles,
admin,change_user_roles,
super_admin,roles.view,all
admin,roles.view,all
branch_manager,roles.view,branch
super_admin,roles.edit,
admin,roles.edit,
super_admin,access_sales_documents,
admin,access_sales_documents,
branch_manager,access_sales_documents,
office_admin,access_sales_documents,
agent,access_sales_documents,
super_admin,sales_docs.view,all
admin,sales_docs.view,all
branch_manager,sales_docs.view,branch
office_admin,sales_docs.view,branch
agent,sales_docs.view,own
super_admin,sales_docs.create,
admin,sales_docs.create,
branch_manager,sales_docs.create,
office_admin,sales_docs.create,
agent,sales_docs.create,
super_admin,sales_docs.edit,
admin,sales_docs.edit,
branch_manager,sales_docs.edit,
office_admin,sales_docs.edit,
super_admin,sales_docs.archive,
admin,sales_docs.archive,
office_admin,sales_docs.archive,
super_admin,access_settings,
admin,access_settings,
super_admin,manage_designations,
admin,manage_designations,
super_admin,manage_branch_settings,
admin,manage_branch_settings,
super_admin,manage_performance_settings,
admin,manage_performance_settings,
super_admin,settings.view,all
admin,settings.view,all
branch_manager,settings.view,branch
super_admin,settings.edit,
admin,settings.edit,
super_admin,access_supervision,
admin,access_supervision,
branch_manager,access_supervision,
super_admin,manage_supervision,
admin,manage_supervision,
branch_manager,manage_supervision,
super_admin,supervision.view,all
admin,supervision.view,all
branch_manager,supervision.view,branch
super_admin,supervision.manage,
admin,supervision.manage,
branch_manager,supervision.manage,
super_admin,access_training,
admin,access_training,
branch_manager,access_training,
office_admin,access_training,
agent,access_training,
super_admin,manage_courses,
admin,manage_courses,
super_admin,assign_training,
admin,assign_training,
branch_manager,assign_training,
super_admin,training.view,all
admin,training.view,all
branch_manager,training.view,branch
office_admin,training.view,own
agent,training.view,own
super_admin,training.manage,
admin,training.manage,
branch_manager,training.manage,
